envelope_mode,smooth_window_s,n_seeds,acf_decay_s_mean,acf_decay_s_sem,pc1_var_explained_mean,pc1_var_explained_sem,n_pcs_95_mean,n_pcs_95_sem,effective_rank_mean,effective_rank_sem
ind,0.5,20,0.5098000000024342,0.0023074250857539522,0.6793826494006203,0.001968329757989066,3.0,0.0,1.891950316072713,0.006571197741871733
ind,1.0,20,0.7306000000034885,0.004197994508679727,0.6901998221456341,0.0023233487476239253,3.0,0.0,1.8384684861760543,0.007267480800387523
ind,2.0,20,1.2887000000061533,0.00997288428959152,0.6928391299478649,0.002956735274957923,2.8,0.0917662935482247,1.8262733336631896,0.009124909420612714
ind,5.0,20,2.9259000000139705,0.030065008512400876,0.6912522252960118,0.0027816828295270284,2.7,0.10513149660756936,1.8286239082906852,0.008267424491236117
ind,10.0,20,5.654100000026998,0.08098635037727689,0.6941110657632564,0.0032073750798351794,2.4,0.11239029738980327,1.8186534020253948,0.009636827023555736
ind,20.0,20,10.938300000052228,0.28644758039922946,0.7079143043625349,0.00494739377809311,2.25,0.09933992677987828,1.775360471430804,0.014985061102969127
ind,40.0,20,19.89130000009498,0.6358946995778703,0.722736624138945,0.006059772890731198,2.15,0.08191780219091253,1.7292406353819523,0.018051501517839044
shared,0.5,20,0.5147000000024576,0.004190904939353079,0.981145098062173,0.00021999229929096817,1.0,0.0,1.0384943111946747,0.00045784493334905267
shared,1.0,20,0.739100000003529,0.006703455511145189,0.9934193018589135,6.920610193614683e-05,1.0,0.0,1.0132666372591252,0.00014054961223670397
shared,2.0,20,1.3038000000062255,0.01889633771265687,0.9957861149438489,5.9251255210532265e-05,1.0,0.0,1.0084725583957534,0.00011974520512987408
shared,5.0,20,3.0228000000144335,0.05001860706432628,0.9970678179615012,7.193269708882535e-05,1.0,0.0,1.0058857658754945,0.00014492014311705474
shared,10.0,20,5.822600000027802,0.14704407502584552,0.9975213286076793,9.385312864886243e-05,1.0,0.0,1.0049722895019888,0.0001889226871857801
shared,20.0,20,11.417500000054517,0.41487309093334923,0.9977789591078791,0.00012351936018379164,1.0,0.0,1.0044539880703245,0.00024842160015934775
shared,40.0,20,21.120700000100847,0.9960591746895155,0.9980514982517945,0.00016890921260160347,1.0,0.0,1.0039065759110453,0.00033972042404557156
