envelope_mode,smooth_window_s,n_seeds,acf_decay_s_mean,acf_decay_s_sem,pc1_var_explained_mean,pc1_var_explained_sem,n_pcs_95_mean,n_pcs_95_sem,effective_rank_mean,effective_rank_sem
ind,0.5,10,0.5058000000024151,0.003457037910006953,0.6801588372294473,0.003943287490831767,3.0,0.0,1.8886449614741951,0.01307581023775088
ind,1.0,10,0.7172000000034245,0.0066077395698256125,0.6925341176597293,0.004695976834446927,3.0,0.0,1.8307901287509718,0.014749147470292198
ind,2.0,10,1.2592000000060124,0.014428983178226516,0.6956861289436586,0.00626847171094186,2.7,0.15275252316519466,1.8163999643453153,0.01890555188684423
ind,5.0,10,2.9274000000139777,0.05021734981305071,0.6978025532222849,0.006530388681332762,2.3,0.15275252316519466,1.8079868686334635,0.01942977583155223
ind,10.0,10,5.563800000026566,0.15356690905198542,0.7073048734489845,0.006368441395197353,2.3,0.15275252316519466,1.7777172697240544,0.019139034697008662
ind,20.0,10,10.902200000052057,0.5578558515549362,0.7199660591424825,0.006964631948567763,2.1,0.09999999999999999,1.7366541356048646,0.020759539859982155
ind,40.0,10,20.033200000095654,1.3245783295554348,0.708041318537753,0.015146647982192576,2.1,0.09999999999999999,1.762359285900629,0.04536005367207946
shared,0.5,10,0.5146000000024571,0.006261345258394464,0.9812016196988835,0.000325493720725753,1.0,0.0,1.0383768026649007,0.0006768328027276951
shared,1.0,10,0.7338000000035038,0.011826335959356043,0.9933943447698679,0.00014097273827719603,1.0,0.0,1.0133175537696681,0.00028621803615339183
shared,2.0,10,1.2828000000061253,0.029447052295555314,0.9957601201665552,0.00010439047904074939,1.0,0.0,1.008525146035475,0.0002110142922900857
shared,5.0,10,2.8452000000135853,0.0700293271902101,0.9971965217287364,0.00013385671955998905,1.0,0.0,1.0056267478515841,0.0002697826045976313
shared,10.0,10,5.407400000025819,0.2797549800980069,0.9976984815474326,0.00018289092337873315,1.0,0.0,1.0046165324460627,0.0003682119842552758
shared,20.0,10,10.279600000049083,0.5976946675008629,0.9980326210213638,0.00014659638162546935,1.0,0.0,1.0039441790683337,0.00029451999671129556
shared,40.0,10,17.796400000084976,1.4973004983114218,0.9980554639562638,0.00017188331535638828,1.0,0.0,1.0038982873946416,0.00034569369329656046
